station,member_casual,latitude,longitude,number_of_rides
Dearborn St & Adams St,member,41.879270603853676,-87.62974103947494,6342
Lake Park Ave & 56th St,member,41.79325209435305,-87.58779546542729,6237
Orleans St & Chestnut St (NEXT Apts),member,41.898163289888764,-87.63753975446262,6113
Bissell St & Armitage Ave*,member,41.9183493328644,-87.6521867814855,6099
Throop St & Taylor St,member,41.868905437657794,-87.65912291934583,6084
Michigan Ave & 18th St,member,41.8578322314651,-87.62455284564923,6061
Wabash Ave & 16th St,member,41.86038704236037,-87.62581635757812,6016
LaSalle St & Washington St,member,41.88268671211451,-87.63252030347229,5973
Eckhart Park,member,41.89637727295749,-87.66098461023526,5951
Shore Dr & 55th St,member,41.79523016202823,-87.5807925224332,5951
State St & 35th St,member,41.831052176449376,-87.62685151121401,5906
Broadway & Argyle St,member,41.97375811284379,-87.65972136035356,5883
Larrabee St & Armitage Ave,member,41.91809610316616,-87.6437553346264,5862
Dusable Harbor,member,41.88696086826213,-87.61284214830144,5852
Ashland Ave & Blackhawk St,member,41.90705075171487,-87.6672278496543,5843
Southport Ave & Clybourn Ave,member,41.920761820433206,-87.66372077856231,5794
Wood St & Taylor St (Temp),member,41.869311193803284,-87.67371743260482,5724
Clark St & Ida B Wells Dr,member,41.87593295497029,-87.63065963449493,5722
Damen Ave & Thomas St (Augusta Blvd),member,41.90133659572735,-87.67742166759366,5685
Michigan Ave & Madison St,member,41.8820575897156,-87.6251524860219,5661
Western Ave & Leland Ave,member,41.96642651758056,-87.6886992856418,5617
Southport Ave & Irving Park Rd,member,41.954152072413606,-87.66431176493231,5614
Sangamon St & Washington Blvd,member,41.8830915380597,-87.65110630032908,5561
Green St & Washington Blvd,member,41.88320238162736,-87.64874913480288,5555
Morgan St & Lake St*,member,41.88549761705394,-87.65233384828251,5543
Lincoln Park Conservatory,member,41.92398488316247,-87.6358601422188,5521
Wood St & Chicago Ave,member,41.8956158994683,-87.67209178217796,5473
Broadway & Berwyn Ave,member,41.97834557759076,-87.65976593064539,5454
Burnham Harbor,member,41.85743083719324,-87.6137967621014,5444
Racine Ave & Wrightwood Ave,member,41.928895969413176,-87.65897667827643,5419
Michigan Ave & Pearson St,member,41.897534269307734,-87.62355283909544,5417
Michigan Ave & Jackson Blvd,member,41.87804022869824,-87.62411156139648,5385
Emerald Ave & 31st St,member,41.838229036780426,-87.64513202960248,5333
Clybourn Ave & Division St,member,41.904596837312724,-87.64056940610278,5273
Clinton St & Roosevelt Rd,member,41.86712024809406,-87.64107263974105,5252
Ashland Ave & Augusta Blvd,member,41.89962345272415,-87.66798427183708,5242
Larrabee St & North Ave,member,41.91016754984527,-87.64350144074498,5235
Fairbanks St & Superior St,member,41.89576343356473,-87.620132925655,5229
Damen Ave & Division St,member,41.903263054851394,-87.6784741335302,5215
Ashland Ave & Wellington Ave,member,41.936078154222656,-87.66983288260296,5075
Hermitage Ave & Polk St,member,41.87152227082372,-87.66989219658974,5026
Shedd Aquarium,member,41.86723778135597,-87.61543681009643,4978
Clark St & Montrose Ave,member,41.96154349967203,-87.66612339471227,4970
Leavitt St & North Ave,member,41.91033167576923,-87.68235322595547,4940
Elizabeth St & Fulton St,member,41.88670700967735,-87.6596034571875,4928
State St & Harrison St,member,41.87404212183906,-87.6277252387909,4921
Broadway & Thorndale Ave,member,41.98975311162553,-87.66014074105854,4903
Walsh Park,member,41.91457621135972,-87.66795731410173,4876
Ashland Ave & Grace St,member,41.95068709772849,-87.66869562708564,4869
Adler Planetarium,member,41.866114289849484,-87.60731037628247,4850
Loomis St & Jackson Blvd,member,41.877949613043654,-87.66200702497298,4810
Cornell Ave & Hyde Park Blvd,member,41.80241570497897,-87.58690255751051,4756
Elizabeth St & Randolph St,member,41.88354717300485,-87.65912179625238,4739
Wood St & Augusta Blvd,member,41.899164329206684,-87.67218318515549,4727
Ada St & Washington Blvd,member,41.88285631289266,-87.66119316017641,4705
Indiana Ave & 31st St,member,41.83883658316531,-87.62185660061299,4682
Delano Ct & Roosevelt Rd,member,41.867493241566315,-87.63219339338976,4667
Western Ave & Fillmore St,member,41.86861637286116,-87.68624441779411,4624
Shields Ave & 31st St,member,41.83846295265439,-87.63538797100325,4615
Calumet Ave & 18th St,member,41.85767223394537,-87.61949149163668,4613
Lincoln Ave & Roscoe St*,member,41.94333390828057,-87.67071894196661,4612
Sheridan Rd & Argyle St,member,41.973280966046616,-87.65474251920405,4548
Broadway & Ridge Ave,member,41.98403759332967,-87.66026214703786,4544
Paulina Ave & North Ave,member,41.91007470384717,-87.66999061650738,4541
Lake Park Ave & 53rd St,member,41.79952151213577,-87.58642517342517,4537
N Green St & W Lake St,member,41.887496391884184,-87.64910122146993,4490
Orleans St & Elm St,member,41.90291155034668,-87.6377268857504,4471
Greenview Ave & Diversey Pkwy,member,41.932613956163834,-87.66595416316248,4468
Clarendon Ave & Leland Ave,member,41.96795171110185,-87.65002390476566,4438
Winthrop Ave & Lawrence Ave,member,41.96883449480271,-87.65764995232469,4435
Marine Dr & Ainslie St,member,41.9715956503506,-87.65016824893915,4421
Ashland Ave & Chicago Ave,member,41.89594646207068,-87.66773598764838,4414
Western Ave & Walton St,member,41.898436165740534,-87.68659837272398,4409
Broadway & Granville Ave,member,41.9947782231543,-87.66028459657487,4394
Sheridan Rd & Lawrence Ave,member,41.96950868840484,-87.654708287225,4382
Larrabee St & Menomonee St,member,41.91466883694915,-87.64333794841502,4366
Damen Ave & Leland Ave,member,41.9670912550138,-87.67905677810718,4348
Wells St & Institute Pl,member,41.89739675949885,-87.6344323476836,4330
Canal St & Taylor St,member,41.870219827343064,-87.63947267321983,4317
Harper Ave & 59th St,member,41.78794284284112,-87.58830996731075,4280
Logan Blvd & Elston Ave,member,41.929425461099626,-87.68414625984022,4256
Ellis Ave & 53rd St,member,41.79935042122241,-87.60096849262757,4213
Leavitt St & Armitage Ave,member,41.917801223383144,-87.6824673354875,4082
Lincoln Ave & Sunnyside Ave,member,41.962985229397354,-87.68479019279275,4082
Damen Ave & Grand Ave,member,41.89244445323767,-87.67688756600441,4077
Seeley Ave & Roscoe St,member,41.94339212627947,-87.67964853868615,4072
Ravenswood Ave & Irving Park Rd,member,41.95464810824517,-87.67390260580848,3989
Dearborn St & Van Buren St,member,41.87627581399043,-87.62925097494713,3972
Racine Ave & 18th St,member,41.858237118223116,-87.65646147392984,3962
Wolcott (Ravenswood) Ave & Montrose Ave,member,41.96141816631472,-87.67620490381726,3940
Lakefront Trail & Wilson Ave,member,41.96584197667517,-87.64539408267925,3919
Campbell Ave & North Ave,member,41.91051858287639,-87.68954797424722,3859
Western Ave & Division St,member,41.90290461405251,-87.68729836064986,3847
Leavitt St & Chicago Ave,member,41.89547962245096,-87.68197639070887,3823
Noble St & Milwaukee Ave,member,41.90067468013645,-87.66257412253476,3811
Damen Ave & Charleston St,member,41.920052513834925,-87.67790826413747,3768
Racine Ave & Washington Blvd,member,41.883073561771305,-87.65700010966337,3743
Sheridan Rd & Noyes St (NU),member,42.058238046126874,-87.6774511259743,3736
Ashland Ave & Grand Ave,member,41.891071207423344,-87.66662394942442,3718
Lincoln Ave & Belle Plaine Ave,member,41.955951488893696,-87.68018264492561,3697
Paulina St & Montrose Ave,member,41.961510795547106,-87.6714045542221,3683
