station,member_casual,latitude,longitude,number_of_rides
Damen Ave & Grand Ave,casual,41.892449485676856,-87.67691868643558,1832
Larrabee St & Oak St,casual,41.900233128775284,-87.64298958295244,1829
Lincoln Ave & Belle Plaine Ave,casual,41.956014381580964,-87.68024475899344,1828
Noble St & Milwaukee Ave,casual,41.900691369480306,-87.66259610174508,1828
Milwaukee Ave & Fullerton Ave,casual,41.923219738876035,-87.70041248152066,1815
Kedzie Ave & Palmer Ct,casual,41.921518471915604,-87.70732306638534,1801
Leavitt St & Division St,casual,41.90300275599664,-87.68378090287794,1786
Orleans St & Elm St,casual,41.90289651401468,-87.63771666569734,1771
LaSalle St & Adams St,casual,41.879398136523236,-87.63195166549627,1743
Ravenswood Ave & Irving Park Rd,casual,41.95462183212297,-87.673938379767975,1724
Ashland Ave & Grand Ave,casual,41.89108001656977,-87.66666267983722,1720
California Ave & Division St,casual,41.90302569172093,-87.69750308260465,1720
Ellis Ave & 53rd St,casual,41.799353311095324,-87.60096985233865,1689
Elizabeth St & Fulton St,casual,41.886702745062465,-87.65961156479477,1681
Stave St & Armitage Ave,casual,41.917730215222086,-87.69143843052821,1666
Clark St & Lunt Ave,casual,42.00897417268765,-87.67417589975787,1652
California Ave & North Ave,casual,41.910437638397084,-87.6973772153977,1647
MLK Jr Dr & 29th St,casual,41.84209177358723,-87.61698661987101,1628
California Ave & Francis Pl,casual,41.91853167596675,-87.69744691426108,1624
Clybourn Ave & Division St,casual,41.904596344928876,-87.64057109926406,1617
Clinton St & Tilden St,casual,41.87587384557549,-87.64075241788366,1616
Racine Ave & Randolph St,casual,41.884078270565915,-87.65688662534204,1608
Southport Ave & Clark St,casual,41.95709333835746,-87.66420076052863,1589
Hampden Ct & Diversey Ave,casual,41.93174511520279,-87.64188418155894,1578
Fort Dearborn Dr & 31st St*,casual,41.83861978242212,-87.60864075384616,1573
Wentworth Ave & Cermak Rd*,casual,41.85319971981541,-87.63185552980268,1571
Wood St & Hubbard St,casual,41.889879153623006,-87.6714989146262,1565
Lincoln Ave & Belmont Ave (Temp),casual,41.93948380568211,-87.67108390366795,1554
Racine Ave & Congress Pkwy,casual,41.874638648886744,-87.65703584223938,1554
Artesian Ave & Hubbard St,casual,41.88958598164516,-87.68818032357419,1550
Racine Ave & Washington Blvd,casual,41.883072059929034,-87.65700364900646,1550
Larrabee St & Menomonee St,casual,41.91469136263261,-87.64333513196463,1527
Blackstone Ave & Hyde Park Blvd,casual,41.802564687880576,-87.59034937433726,1524
Lincoln Ave & Addison St,casual,41.94618490794255,-87.67330547366066,1497
State St & 33rd St,casual,41.834737470086836,-87.62583387379425,1497
Damen Ave & Melrose Ave,casual,41.940541965704696,-87.67855547431543,1490
Paulina St & Montrose Ave,casual,41.96150746911486,-87.67141691994594,1480
Lincoln Ave & Waveland Ave,casual,41.948775579487354,-87.67523710435407,1463
Wabash Ave & Cermak Rd,casual,41.85261681392197,-87.62652556647501,1461
Troy St & North Ave,casual,41.90980110941949,-87.70532265147892,1447
Glenwood Ave & Morse Ave,casual,42.00796388780708,-87.66547172065232,1441
W Oakdale Ave & N Broadway,casual,41.93688425859145,-87.64286507528381,1427
Throop St & Taylor St,casual,41.868888905007026,-87.65913103417135,1424
Halsted St & 18th St,casual,41.85760036360818,-87.64602755066244,1419
Campbell Ave & Fullerton Ave,casual,41.92411664170213,-87.68836469859575,1410
California Ave & Altgeld St,casual,41.9266746868117,-87.69770946432952,1402
Paulina St & 18th St,casual,41.857894636276214,-87.66871398030369,1383
Damen Ave & Sunnyside Ave,casual,41.96325551482182,-87.67927454639273,1375
Loomis St & Jackson Blvd,casual,41.87793918743272,-87.66200990739637,1375
Greenview Ave & Jarvis Ave,casual,42.0159717704519,-87.66859861049562,1372
Wolcott Ave & Polk St,casual,41.87128776710219,-87.67369522837227,1370
Richmond St & Diversey Ave,casual,41.931918427582175,-87.701234481271,1369
Ashland Ave & Belle Plaine Ave,casual,41.95608000902934,-87.66886123093303,1329
Wood St & Webster Ave,casual,41.921043190805115,-87.67280712355154,1329
St. Louis Ave & Fullerton Ave,casual,41.92483402467424,-87.71450099936364,1320
Talman Ave & Addison St,casual,41.94664482848784,-87.6946293262158,1316
Paulina St & Flournoy St,casual,41.87304457873668,-87.66908344455099,1314
Clark St & Elmdale Ave,casual,41.99085380341203,-87.66969305658034,1313
Chicago Ave & Washington St,casual,42.03256473823981,-87.67916012931592,1301
Kimball Ave & Belmont Ave,casual,41.93940356090769,-87.71208656744615,1300
Damen Ave & Madison St,casual,41.88139601859044,-87.67492157882538,1277
Leavitt St & Addison St,casual,41.946626742039214,-87.68337110538039,1275
Lake Park Ave & 35th St,casual,41.83126917437301,-87.60879971246825,1260
California Ave & Fletcher St,casual,41.938436964160005,-87.698015338072,1250
California Ave & Montrose Ave,casual,41.961087674201615,-87.69544048749194,1240
Clark St & Schreiber Ave,casual,41.999532829014655,-87.67078130703584,1228
Central Park Ave & Elbridge Ave,casual,41.93534770414876,-87.71686052149586,1210
State St & 19th St,casual,41.85657978210614,-87.62754707319237,1206
Lincoln Ave & Melrose St,casual,41.940549743945184,-87.66947640597176,1204
Wells St & 19th St,casual,41.85679765432247,-87.63386712925386,1166
W Armitage Ave & N Sheffield Ave,casual,41.9185615965236,-87.65229567472961,1165
Central Park Ave & Bloomingdale Ave,casual,41.91416244922338,-87.71676257687609,1146
University Library (NU),casual,42.052936428026314,-87.67338011342983,1140
Harper Ave & 59th St,casual,41.78794444160667,-87.58830663640035,1139
Kosciuszko Park,casual,41.93055614078553,-87.723813161279793,1133
Morgan St & 31st St,casual,41.83778681431616,-87.65115409564831,1126
Leavitt St & Lawrence Ave,casual,41.9689012970625,-87.68404240091964,1120
Winchester Ave & Elston Ave,casual,41.92407566349149,-87.67644625293644,1117
Sheridan Rd & Columbia Ave,casual,42.00457161926829,-87.66144469155375,1107
Elston Ave & Wabansia Ave,casual,41.91292410277577,-87.6641701761935,1106
Clinton St & 18th St,casual,41.85792228456522,-87.64083806550725,1104
Avondale Ave & Irving Park Rd,casual,41.95340322493648,-87.73198128424683,1102
Halsted St & Archer Ave,casual,41.8471927911549,-87.6468107168011,1091
Morgan Ave & 14th Pl,casual,41.86239915038781,-87.65110593065559,1083
Damen Ave & Wabansia Ave,casual,41.91201055232558,-87.67765004730232,1075
Emerald Ave & 31st St,casual,41.838208604644194,-87.64512849735955,1068
